date,amount,merchant,description
2025-01-01,499,Netflix,Monthly subscription
2025-01-05,49,Swiggy,Food delivery
2025-01-07,49,Swiggy,Food delivery
2025-01-09,49,Swiggy,Food delivery
2025-01-10,119,Spotify,Monthly subscription
2025-01-12,199,Amazon Prime,Monthly subscription
2025-01-15,49,Swiggy,Food delivery
2025-01-18,49,Swiggy,Food delivery
2025-01-20,999,Rent,House rent
2025-01-22,49,Swiggy,Food delivery
2025-02-01,499,Netflix,Monthly subscription
2025-02-05,49,Swiggy,Food delivery
2025-02-08,49,Swiggy,Food delivery
2025-02-10,119,Spotify,Monthly subscription
2025-02-12,199,Amazon Prime,Monthly subscription
2025-02-15,49,Swiggy,Food delivery
2025-02-18,99,YouTube Premium,Monthly subscription
2025-02-20,999,Rent,House rent
2025-02-22,49,Swiggy,Food delivery
2025-02-25,149,Zomato Gold,Monthly membership
2025-03-01,499,Netflix,Monthly subscription
2025-03-04,49,Swiggy,Food delivery
2025-03-06,49,Swiggy,Food delivery
2025-03-08,49,Swiggy,Food delivery
2025-03-10,119,Spotify,Monthly subscription
2025-03-12,199,Amazon Prime,Monthly subscription
2025-03-14,49,Swiggy,Food delivery
2025-03-18,99,YouTube Premium,Monthly subscription
2025-03-20,999,Rent,House rent
2025-03-25,149,Zomato Gold,Monthly membership
